epoch,accuracy,loss,val_accuracy,val_loss
0,0.37669527530670166,1.330219030380249,0.455331414937973,1.2846183776855469
1,0.6482147574424744,0.9876924157142639,0.6829971075057983,0.8899003267288208
2,0.797121524810791,0.5755007266998291,0.6685879230499268,0.7659807205200195
3,0.8452809453010559,0.41770586371421814,0.6858789920806885,0.7921236753463745
4,0.8840298652648926,0.33384859561920166,0.6887608170509338,0.8167197704315186
5,0.9000830054283142,0.2744057774543762,0.6714697480201721,0.9081754088401794
6,0.9183503985404968,0.23388752341270447,0.6743515729904175,0.9398860931396484
7,0.9327428936958313,0.1945323497056961,0.6887608170509338,1.0142574310302734
8,0.94768887758255,0.1679249256849289,0.6916426420211792,1.0585874319076538
9,0.9573761224746704,0.1463611125946045,0.6772334575653076,1.1411170959472656
10,0.9618045687675476,0.12742158770561218,0.6974063515663147,1.194825530052185
11,0.9637420177459717,0.11946385353803635,0.6858789920806885,1.2246555089950562
12,0.9692776203155518,0.10750608146190643,0.680115282535553,1.3044954538345337
13,0.9698311686515808,0.10257256031036377,0.680115282535553,1.322273850440979
14,0.9695543646812439,0.0899675041437149,0.7002881765365601,1.4013110399246216
15,0.971491813659668,0.09118348360061646,0.6945244669914246,1.4373668432235718
16,0.975089967250824,0.08334022760391235,0.6887608170509338,1.4254262447357178
17,0.9745364189147949,0.08229141682386398,0.7089337110519409,1.443104863166809
18,0.9745364189147949,0.07779435813426971,0.6887608170509338,1.456984519958496
19,0.9759202599525452,0.07316353172063828,0.6858789920806885,1.4888449907302856
20,0.9761970639228821,0.0752549022436142,0.6858789920806885,1.559768557548523
21,0.9778577089309692,0.06968032568693161,0.6974063515663147,1.582399606704712
22,0.9778577089309692,0.0732075646519661,0.6945244669914246,1.6256994009017944
23,0.9761970639228821,0.07084348797798157,0.6916426420211792,1.5768749713897705
24,0.9778577089309692,0.06502580642700195,0.6772334575653076,1.6010029315948486
